"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R4,R3,R2";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";3;"4k7";;;
2;"J3";"Jack_3.5mm_PJ320D_Horizontal";1;"AudioJack4";;;
3;"U1";"pcm_adc";1;"pcm_adc";;;
4;"C2,C1";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"100n";;;
5;"J1";"PinHeader_2x06_P2.54mm_Horizontal";1;"pmod";;;
6;"U3,U2";"inmp441-module";2;"inmp441";;;
7;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"+5V";;;
8;"R1";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"100k";;;
